Date,Location,Temperature,Rainfall,Humidity,Water_source_quality,Sanitation_facilities,Population_density,Access_to_healthcare,Previous_outbreak_history,Reported_cases
2024-09-01,West Beckyland,25.3,23.6,64.8,Unsafe,Improved,1261,27.4,0,4
2025-02-24,Beltranfurt,30.9,85.8,40.6,Unsafe,Improved,6141,10.6,2,11
2024-03-06,New Steven,34.7,17.7,56.5,Unsafe,Improved,5165,12.7,4,8
2025-01-09,North Brett,28.6,54.1,83.3,Unsafe,Improved,9936,23.3,3,15
2023-12-25,Waltersside,28.6,0.2,76.4,Unsafe,Unimproved,8528,19.8,1,6
2025-02-25,Lawsonfort,30.7,28.3,52.9,Safe,Improved,3363,24.8,1,0
2024-07-19,Gailmouth,32.3,49.5,49.9,Safe,Improved,8716,23.8,4,4
2023-07-14,New Kellyside,28.4,25.6,79.8,Unsafe,Unimproved,6764,25.3,3,15
2025-05-07,Joshuafurt,29.4,4.4,54.2,Unsafe,Unimproved,6268,8.0,3,9
2024-05-19,North Devin,33.1,1.2,40.6,Safe,Improved,9816,23.6,0,5
2025-01-01,Andreaside,30.8,0.5,71.1,Safe,Improved,4242,20.9,1,2
2024-04-18,East Johnmouth,23.6,25.1,88.2,Safe,Unimproved,9585,0.8,1,4
2024-10-28,New Dianemouth,33.6,15.7,81.2,Safe,Improved,2387,1.1,4,7
2024-10-12,New Ashley,36.2,55.0,64.9,Safe,Unimproved,4908,16.9,4,13
2024-03-27,Heatherton,29.7,4.3,49.9,Safe,Improved,3070,4.6,4,5
2023-08-06,New Ashley,27.6,55.1,57.5,Unsafe,Improved,4242,25.1,1,9
2024-12-23,Jasonmouth,27.0,17.1,46.1,Unsafe,Improved,5253,12.4,2,7
2024-11-17,Lake Katherinestad,27.8,1.1,74.0,Safe,Improved,5658,14.6,3,3
2024-08-20,Duncanchester,31.2,5.3,65.6,Unsafe,Improved,7875,1.8,1,9
2024-03-23,East Tracy,34.7,5.9,46.7,Unsafe,Unimproved,5731,8.4,1,14
2025-04-29,West Michelleton,31.9,12.2,48.7,Unsafe,Unimproved,6006,27.6,1,8
2023-10-30,Russoshire,21.4,27.5,43.4,Safe,Improved,7558,21.4,4,3
2023-08-07,Lake Dianeberg,23.2,1.4,85.5,Unsafe,Unimproved,1321,23.5,2,6
2024-11-06,Wesleyfurt,31.6,39.7,49.9,Unsafe,Improved,1146,12.3,2,9
2024-06-09,Kathrynmouth,23.2,3.6,47.2,Safe,Unimproved,8193,1.7,2,1
2024-08-02,North Terry,28.0,5.1,56.0,Safe,Improved,3309,3.9,4,3
2024-11-25,East Deanville,18.5,27.9,67.4,Unsafe,Unimproved,7701,15.0,1,9
2023-06-23,Phillipmouth,25.3,14.7,60.0,Safe,Improved,2143,16.3,2,2
2024-05-27,Hoffmanside,25.1,1.4,52.7,Unsafe,Improved,3189,16.6,1,2
2025-05-02,Ianland,20.8,6.9,68.2,Safe,Unimproved,3068,18.8,3,11
2024-12-18,West Josephmouth,28.7,25.4,63.0,Safe,Improved,2566,27.7,2,1
2023-09-07,Morrisberg,26.4,10.7,49.4,Safe,Improved,9115,26.8,2,3
2024-08-01,East Glen,29.6,25.0,60.0,Unsafe,Improved,8150,18.2,4,9
2025-05-11,Lake Henry,30.5,11.0,40.4,Safe,Unimproved,2506,6.9,1,9
2023-11-07,Danielburgh,24.6,8.7,67.2,Safe,Improved,6016,18.5,0,0
2025-05-01,South Scotttown,33.3,24.5,48.4,Safe,Unimproved,3187,17.6,2,8
2024-01-08,Travismouth,33.9,75.5,69.2,Safe,Improved,6760,13.1,1,9
2023-12-15,Johnsonfort,26.9,30.3,81.8,Safe,Improved,846,12.4,1,1
2023-09-20,Port Matthew,23.5,2.1,89.9,Safe,Unimproved,8504,23.2,3,11
2024-12-06,New Samantha,30.3,12.5,57.9,Unsafe,Improved,7345,13.7,4,12
2024-01-18,South Danielle,25.1,2.4,64.2,Unsafe,Unimproved,8710,29.1,2,10
2024-10-13,Katelynhaven,25.7,12.5,87.5,Safe,Improved,2646,27.2,2,1
2024-08-15,Edwardton,29.7,1.6,72.7,Unsafe,Unimproved,5730,26.5,0,6
2024-04-27,Monicamouth,33.4,21.1,42.5,Safe,Unimproved,4914,5.5,1,6
2024-02-02,Port Markburgh,31.1,37.8,71.0,Safe,Unimproved,8016,17.7,3,8
2024-11-26,Port Christineville,28.7,1.5,61.7,Unsafe,Improved,8697,14.0,3,9
2024-05-07,Jeffreyhaven,32.2,13.1,85.0,Safe,Improved,3475,10.5,1,2
2024-06-19,East Jessica,27.9,15.9,69.9,Unsafe,Improved,3561,29.9,2,4
2025-03-08,North Jennifer,25.5,38.5,79.9,Unsafe,Unimproved,6871,6.7,1,4
2023-06-12,Lake Reneeview,26.9,6.2,61.3,Safe,Unimproved,6269,13.9,3,7
2024-08-20,Rodriguezside,27.0,72.9,64.7,Safe,Unimproved,3243,3.5,2,7
2024-05-13,Robertoshire,29.4,13.1,43.0,Unsafe,Improved,6270,14.1,2,8
2024-03-23,Jordanton,21.9,35.8,52.5,Unsafe,Unimproved,6200,26.2,3,14
2025-04-30,West Michaelmouth,25.3,7.8,44.6,Unsafe,Improved,9745,2.7,3,8
2024-08-28,East Tammyland,26.2,13.5,59.8,Unsafe,Improved,4885,15.5,2,5
2024-09-08,Adamberg,21.5,3.1,89.4,Safe,Unimproved,372,18.1,4,11
2024-05-05,East Shane,28.7,5.4,60.6,Safe,Unimproved,7704,6.1,1,2
2024-09-01,Lake Susanton,32.9,14.9,53.2,Unsafe,Unimproved,4531,15.3,0,11
2024-04-06,South Amanda,30.8,0.7,75.1,Safe,Improved,9103,21.0,4,10
2025-01-01,Brittanyport,27.9,27.9,76.3,Safe,Improved,7129,15.3,3,4
2025-02-15,Port Benjamin,30.6,30.9,89.6,Safe,Unimproved,1908,9.5,3,8
2024-07-05,Doyleton,32.8,27.2,70.0,Unsafe,Unimproved,9068,12.9,2,5
2024-06-12,Patricktown,38.4,55.2,73.4,Unsafe,Improved,587,6.7,1,12
2023-08-27,Jenniferside,30.5,36.6,74.9,Unsafe,Improved,5746,23.5,0,7
2024-12-04,Ericfurt,26.9,35.5,83.8,Unsafe,Unimproved,5147,10.0,2,11
2025-03-25,Port Brendafurt,27.9,22.3,46.9,Safe,Unimproved,4215,24.3,1,6
2024-03-31,South Adamport,29.3,19.7,67.6,Safe,Improved,1557,29.4,3,3
2024-03-22,Shannonbury,27.6,52.6,72.7,Safe,Unimproved,1298,20.5,1,4
2024-04-28,Ortizberg,28.5,4.9,86.9,Safe,Improved,5548,13.8,2,3
2024-11-18,Glovershire,31.5,4.5,51.3,Unsafe,Unimproved,1730,23.7,0,9
2024-02-24,New Claudia,31.5,34.6,43.3,Safe,Unimproved,2018,4.8,2,11
2023-06-01,Dunntown,31.4,9.8,67.9,Safe,Unimproved,5137,29.3,3,10
2024-02-07,Jonathanstad,26.0,12.0,45.6,Safe,Unimproved,2200,21.8,4,4
2025-04-03,Williamsstad,33.9,2.9,65.2,Safe,Improved,901,10.5,2,6
2024-05-12,Jameston,27.0,18.7,70.3,Safe,Unimproved,3223,14.2,4,10
2023-09-08,Sharonbury,23.7,9.1,77.6,Safe,Improved,2261,13.3,3,3
2023-05-17,Port Kelly,25.9,2.7,42.1,Unsafe,Improved,2467,25.7,1,2
2023-07-13,New Katherinechester,32.5,21.0,55.0,Unsafe,Unimproved,6285,4.6,3,8
2023-12-19,Kevinburgh,33.2,65.0,73.2,Safe,Unimproved,1144,15.8,2,11
2024-08-29,Trevorshire,31.6,9.9,82.9,Unsafe,Unimproved,8247,19.7,1,7
2023-08-28,Chaneyberg,30.3,15.4,78.8,Safe,Unimproved,4936,9.1,3,9
2024-04-27,Michaelmouth,27.5,17.5,49.0,Unsafe,Unimproved,2427,15.7,0,8
2024-09-30,Reedshire,27.7,28.8,80.2,Unsafe,Unimproved,6783,24.7,4,11
2023-05-12,North Davidborough,29.4,1.8,80.6,Safe,Unimproved,3255,10.1,1,7
2025-03-03,South Aaron,30.5,15.9,77.5,Safe,Unimproved,6532,20.9,1,6
2025-02-08,East Debra,25.5,39.3,86.4,Safe,Improved,7976,15.0,2,0
2024-07-26,East Kerriville,25.8,6.8,84.0,Safe,Unimproved,5602,5.5,0,1
2025-02-21,Richardbury,25.7,23.2,60.9,Unsafe,Improved,5036,4.6,2,9
2025-04-01,Stevenston,25.2,13.8,41.0,Safe,Improved,9715,4.6,4,1
2023-05-19,Racheltown,35.5,16.5,73.7,Safe,Unimproved,4327,11.6,0,5
2023-11-09,North Jenniferport,29.4,39.9,63.6,Safe,Unimproved,2952,7.1,1,0
2025-03-08,Wesleystad,18.1,6.1,60.8,Unsafe,Unimproved,9496,22.3,1,7
2024-04-23,South Bobbyview,24.8,29.7,76.6,Unsafe,Unimproved,3648,20.8,2,9
2025-04-23,West Manuel,22.3,24.1,85.2,Safe,Unimproved,3708,22.7,2,11
2024-09-02,New Edwin,29.6,25.8,83.0,Safe,Improved,8575,28.4,3,1
2023-06-14,North Jodi,30.8,12.7,69.0,Safe,Unimproved,6213,28.8,1,6
2024-12-12,South Christinaport,38.0,14.3,86.8,Unsafe,Unimproved,4639,9.0,1,7
2023-06-21,New Holly,26.4,52.5,80.5,Unsafe,Improved,9283,9.0,4,10
2024-07-01,Jenningsport,37.4,33.7,84.6,Unsafe,Improved,457,18.2,2,3
2025-03-01,Thomasview,29.8,10.5,72.7,Safe,Unimproved,8566,11.4,1,3
2025-02-12,Marthashire,23.4,32.3,81.1,Safe,Improved,3928,0.6,2,3
2024-03-15,Julieport,29.3,0.2,54.6,Safe,Unimproved,8501,20.5,2,4
2024-09-19,Longfort,22.2,13.7,72.9,Safe,Improved,3160,15.5,1,1
2025-04-19,South Cassandra,36.7,26.2,42.4,Safe,Improved,2115,17.9,0,0
2023-08-14,Andersonberg,32.1,40.7,42.4,Safe,Unimproved,9541,24.4,1,6
2023-10-08,Johnsonshire,28.0,14.1,43.3,Safe,Unimproved,6788,19.4,0,2
2024-06-18,Shortbury,22.2,12.8,45.1,Safe,Unimproved,1791,4.5,4,8
2023-12-09,Jenniferstad,24.6,18.8,54.6,Unsafe,Unimproved,8516,5.6,1,7
2023-07-28,New Jeffrey,28.6,13.1,88.3,Unsafe,Unimproved,7754,13.6,2,13
2023-10-23,Antoniomouth,32.5,1.0,65.2,Safe,Unimproved,3170,12.9,2,9
2025-03-25,North Thomasshire,26.7,31.5,85.6,Safe,Unimproved,6968,12.8,4,4
2024-03-08,Port Vincent,28.4,22.3,48.4,Safe,Unimproved,1983,25.8,0,4
2024-08-20,Roberthaven,28.8,7.4,53.7,Safe,Improved,6105,15.6,4,5
2023-06-13,New Amber,28.2,22.5,80.8,Unsafe,Unimproved,5105,27.2,0,5
2024-01-18,Andrewsville,25.7,14.9,71.9,Safe,Unimproved,7270,7.0,3,5
2024-03-04,South Amber,27.0,27.3,50.7,Safe,Unimproved,7659,28.1,1,1
2025-02-25,New Steven,24.1,79.8,70.4,Safe,Improved,1515,14.0,0,2
2024-07-03,Port Megan,27.6,23.9,43.4,Unsafe,Improved,341,15.0,3,4
2024-08-06,Whitebury,29.3,12.9,63.6,Unsafe,Unimproved,358,6.1,1,10
2025-03-12,Jasmineview,22.0,6.5,46.2,Safe,Improved,1107,12.5,4,1
2024-06-28,North Allisonview,31.4,32.4,51.0,Unsafe,Improved,3814,17.6,0,1
2024-10-13,West Tara,25.2,10.9,66.3,Unsafe,Unimproved,2682,1.6,3,8
2023-05-14,Lake Tracy,25.4,1.0,40.7,Safe,Unimproved,7319,18.9,2,5
2025-02-14,Kyleburgh,15.0,62.6,89.3,Unsafe,Unimproved,9281,16.1,3,11
2024-05-20,East John,25.4,50.0,87.4,Unsafe,Improved,3153,3.8,0,2
2025-01-01,East Richardhaven,27.3,19.9,68.2,Unsafe,Improved,6783,26.8,1,5
2023-10-15,New Angelafort,32.2,37.6,87.4,Safe,Unimproved,1868,21.0,3,9
2023-06-02,North Maureenhaven,15.5,68.4,89.6,Safe,Unimproved,7338,14.7,0,5
2024-05-06,West Lynn,19.2,4.8,53.7,Safe,Unimproved,3938,20.6,0,6
2024-03-24,Kennethtown,25.0,1.8,88.8,Safe,Improved,5619,14.4,3,3
2024-02-10,New Jamiefurt,20.9,0.9,51.3,Unsafe,Improved,5776,23.5,1,4
2023-12-23,South Michaelfurt,30.6,32.6,64.6,Unsafe,Unimproved,3416,23.7,0,16
2025-02-09,Cynthiaton,25.1,1.7,59.0,Unsafe,Unimproved,3554,17.7,0,3
2024-07-27,North Michaelville,20.5,15.9,78.9,Unsafe,Improved,7798,0.8,4,8
2024-09-03,West Kevin,22.8,15.7,67.0,Safe,Unimproved,7138,4.3,1,10
2024-06-23,Gibsonborough,35.7,42.9,48.0,Safe,Improved,2173,24.9,1,3
2024-06-09,South Bernardmouth,34.4,1.7,40.6,Safe,Unimproved,5833,24.1,4,7
2023-08-09,Kristenside,26.4,3.8,68.4,Unsafe,Improved,6189,4.6,4,9
2023-10-06,Coopershire,27.5,24.5,85.3,Safe,Improved,6458,6.6,0,0
2023-08-28,Lake John,30.9,15.8,49.3,Safe,Improved,4994,24.3,4,3
2025-03-13,Lake Austinview,35.1,41.8,89.2,Unsafe,Unimproved,7574,17.2,1,10
2023-12-18,Brianton,24.4,1.3,65.2,Safe,Improved,2059,21.6,3,3
2024-07-28,Ryanborough,35.9,67.3,53.2,Safe,Unimproved,4733,28.6,3,14
2023-09-25,Crystalfurt,23.2,8.5,67.9,Safe,Improved,3876,22.5,0,0
2024-01-22,Natalieton,32.3,9.0,42.5,Safe,Improved,6711,17.5,0,3
2025-02-03,Floresmouth,24.9,24.3,63.9,Unsafe,Unimproved,7165,26.5,1,8
2023-08-22,North Timothyport,24.4,7.8,63.9,Safe,Improved,4290,23.5,0,0
2023-11-04,West Richardton,23.2,53.6,52.4,Unsafe,Improved,235,26.8,0,5
2023-07-18,Youngshire,29.9,25.8,42.7,Safe,Unimproved,4511,5.2,1,6
2023-09-15,Francishaven,33.2,1.4,40.8,Unsafe,Improved,2766,4.2,0,6
2024-06-07,New Monicaton,31.7,42.2,73.3,Safe,Unimproved,9517,12.1,0,4
2024-07-22,Laurieborough,30.8,4.9,53.9,Safe,Improved,9872,3.3,1,5
2023-07-30,West Jenniferfurt,34.5,8.6,70.7,Unsafe,Improved,2576,23.5,0,4
2025-03-14,Port Fred,26.0,5.6,54.8,Unsafe,Unimproved,1989,3.9,4,11
2024-02-10,Johnstonport,24.0,8.6,73.1,Safe,Improved,573,14.1,4,1
2024-03-25,Stevenchester,33.5,38.3,70.6,Safe,Improved,9798,21.9,1,6
2024-07-16,South Leslieborough,32.2,88.6,84.3,Safe,Improved,9296,20.9,3,4
2023-10-21,New Suzannefurt,35.4,1.4,83.8,Safe,Improved,7015,28.9,3,5
2023-12-06,Dillonfort,31.0,27.6,69.2,Unsafe,Improved,7202,6.2,0,7
2023-08-12,New Christopher,23.6,28.2,81.0,Safe,Unimproved,4515,29.9,1,1
2024-01-30,Rhondafurt,32.4,13.2,89.9,Unsafe,Unimproved,2040,6.0,4,13
2024-06-26,Barbaraton,29.7,2.7,71.0,Safe,Improved,2375,0.7,2,2
2023-08-21,Traciside,35.6,66.6,55.4,Unsafe,Improved,2237,13.2,1,15
2024-06-05,West Lynntown,17.7,41.8,46.6,Unsafe,Improved,2549,6.1,0,1
2025-01-29,West Brian,28.8,6.0,48.5,Unsafe,Improved,5013,19.1,0,4
2024-06-13,Johnsonborough,21.9,3.6,45.3,Safe,Unimproved,4249,21.5,2,5
2024-08-01,New Lauren,32.4,14.5,73.3,Safe,Improved,6368,12.7,0,2
2023-08-25,Charleschester,31.5,4.6,51.9,Unsafe,Unimproved,618,21.8,3,13
2024-10-26,Jameschester,34.9,3.1,49.0,Unsafe,Improved,2338,29.3,0,4
2024-05-06,Mahoneyview,22.6,21.5,75.0,Safe,Improved,5693,13.5,0,0
2024-03-06,North Donnaburgh,21.1,1.7,50.0,Safe,Unimproved,9064,8.3,2,8
2024-07-06,Sarahtown,32.2,3.6,50.6,Unsafe,Unimproved,2901,23.6,1,9
2024-05-21,New Kent,15.7,14.8,58.1,Unsafe,Unimproved,9336,20.0,2,6
2024-09-21,Parsonsburgh,25.7,6.9,71.5,Safe,Improved,2132,21.3,4,3
2024-12-22,Carrollborough,35.4,11.7,81.9,Unsafe,Unimproved,8356,21.9,0,9
2025-03-07,East Veronicashire,35.0,15.6,49.1,Unsafe,Unimproved,1878,7.4,3,15
2023-09-13,Lake Lindaborough,21.3,7.5,46.2,Unsafe,Unimproved,9996,18.5,0,5
2024-08-18,Taylorhaven,30.3,64.0,53.4,Safe,Improved,6474,9.7,4,6
2024-05-15,Clarkmouth,28.5,12.3,52.1,Safe,Unimproved,6821,6.1,0,2
2023-08-23,Lewistown,35.4,97.3,57.1,Safe,Improved,103,8.1,3,9
2023-12-12,Port Jennifer,32.1,29.6,65.7,Unsafe,Unimproved,4607,5.5,4,10
2024-08-05,Port Jasmineport,19.6,29.8,48.3,Unsafe,Unimproved,9754,16.0,1,6
2024-01-21,Seanville,28.1,53.8,44.3,Unsafe,Improved,5638,22.5,0,13
2024-02-06,East Tanya,22.2,27.8,68.8,Unsafe,Unimproved,1836,10.2,0,10
2024-10-29,Villarrealfort,32.5,29.1,85.6,Unsafe,Unimproved,1394,20.2,1,7
2024-08-11,Jerryfurt,38.8,72.2,49.7,Safe,Improved,241,20.8,3,8
2025-01-05,Teresafort,22.1,0.3,67.7,Unsafe,Improved,1990,10.5,3,9
2024-11-08,Lake Jonathan,29.2,15.4,68.2,Unsafe,Improved,1037,29.1,4,7
2024-01-14,East Ashleyborough,26.8,48.5,50.4,Unsafe,Improved,8473,25.6,1,5
2025-04-21,Aaronside,30.3,1.7,82.2,Safe,Unimproved,3894,11.1,1,7
2023-10-13,Andersonberg,29.6,19.8,81.9,Safe,Unimproved,4832,12.1,1,3
2024-09-13,South Gailstad,25.5,57.6,47.1,Unsafe,Unimproved,168,25.8,1,11
2024-03-29,North Roberthaven,36.9,10.2,86.8,Safe,Unimproved,3350,2.4,4,16
2023-12-22,Lake Judyborough,24.9,25.5,43.7,Safe,Unimproved,6647,12.6,2,0
2025-01-20,South Michaelberg,26.9,29.6,70.8,Safe,Improved,9206,22.7,1,0
2024-02-05,Kelseytown,31.4,0.4,86.2,Unsafe,Unimproved,8171,28.2,1,17
2024-12-12,West Becky,36.5,17.9,64.1,Unsafe,Improved,5656,2.9,3,12
2024-09-16,North Kenneth,26.5,90.0,64.0,Unsafe,Improved,7902,2.2,0,2
2024-07-30,Christianchester,24.5,2.5,88.5,Unsafe,Unimproved,220,8.3,0,9
2024-03-13,North Rachelton,26.4,11.5,54.5,Safe,Unimproved,2759,8.3,1,4
2025-02-06,West Michaelberg,34.2,10.8,49.5,Safe,Unimproved,884,11.2,3,6
2024-02-10,New Jason,26.1,16.2,74.3,Unsafe,Improved,2895,4.6,1,1
2023-05-24,West Shelley,28.7,24.8,59.4,Safe,Unimproved,9845,6.2,1,3
2023-12-01,Matthewburgh,33.1,41.1,46.9,Safe,Unimproved,9391,28.9,4,15
2024-04-13,Lake Erica,28.4,40.2,85.7,Safe,Unimproved,889,11.1,4,9
2023-06-12,Copelandside,30.2,5.7,68.8,Unsafe,Improved,2606,12.6,0,9
2023-08-01,Elizabethport,28.7,25.0,56.7,Safe,Unimproved,3758,12.6,3,4
2024-03-02,East Brenda,28.3,15.0,42.8,Unsafe,Unimproved,4274,24.2,3,4
2025-01-03,Port Conniemouth,26.0,21.9,47.5,Safe,Improved,8295,25.7,2,4
2024-07-10,Shawnbury,24.7,20.4,89.1,Unsafe,Improved,9866,15.7,0,1
2024-05-04,Jonfurt,27.9,10.6,83.2,Unsafe,Improved,8177,3.5,4,8
2024-06-23,Port Timothy,28.1,4.3,71.1,Unsafe,Improved,9952,26.6,4,2
2024-06-19,Hardinghaven,31.9,18.5,74.8,Unsafe,Unimproved,2148,16.4,0,5
2024-03-14,Bradleytown,31.2,5.3,70.5,Safe,Unimproved,4492,21.9,1,8
2024-03-28,West Trevorton,36.1,34.1,56.4,Safe,Improved,3233,24.0,3,5
2024-02-03,East Erica,21.7,12.7,48.8,Safe,Unimproved,8981,11.1,2,4
2023-12-02,Tammyburgh,35.6,38.7,65.2,Unsafe,Unimproved,7387,16.2,4,13
2023-07-24,New Joshuafurt,29.2,81.3,57.5,Safe,Unimproved,6669,9.1,1,6
2023-10-06,Lake Lindsay,21.6,9.3,46.1,Safe,Improved,1300,19.2,1,0
